P,Type,Title,Assignee,Status,7D views,ID,Last Modified
,,"Step ""webgpu_cts_compat_tests on Android device Pixel 6"" failing on builder ""chromium/ci/Dawn Android arm64 Release (Pixel 6)"" webgpu:api,validation,capability_checks,limits,*",,,,,
P2,Bug,,--,New,2,463519287,"Nov 25, 2025 10:58AM"
,,Navigation Transition related tests fail in TreesInViz on Pixel 7,,,,,
P4,Bug,[ML Kit] Document Scanner is not working when 16kb is enabled on Pixel Devices,--,New,3,464097327,"Nov 27, 2025 12:59PM"
P1,Task,,,Verified,0,416681296,"May 13, 2025 03:46PM"
,,[PointerLockOnAndroid] Cache the input device pixel resolution,,,,,
P3,Bug,No Devices while Pixel Tablet API 35 virtual device is running,,Assigned,0,445022532,"Sep 15, 2025 10:12PM"
P2,Feature Request,[Camera] [Feature Request] Add Shutter Haptic Feedback to Pixel 6 series,,WAI,0,377227686,"Nov 27, 2024 02:33PM"
P2,Feature Request,**Feature Requests for Pixel’s Rules feature**,,WAI,0,394636087,"Apr 1, 2025 11:03PM"
P2,Feature Request,"Terminal app gui not avaliable in Pixel 8a, android 16 beta 4",,Obsolete,0,412147365,"Apr 23, 2025 02:14PM"
P2,Feature Request,Pixel 6 Display - Oversaturated Colors in Adaptive Mode,,Infeasible,0,418946929,"Jun 6, 2025 09:20PM"
P2,Feature Request,My pixel 7 shutdown without asking for a password,,Duplicate,0,434396849,"Jul 31, 2025 03:24AM"
P2,Feature Request,[Pixel Weather] No Animations in pixel weather app,,Assigned,0,379173197,"Dec 24, 2024 09:23PM"
P2,Feature Request,Airplane Mode on phone does not enable on pixel watch and vice versa,,Assigned,0,385712672,"May 5, 2025 08:31PM"
P2,Feature Request,No way to check connected devices battery from Pixel Watch,,Assigned,0,402308869,"Mar 11, 2025 08:35PM"
P2,Feature Request,Feature request for Pixel Camera,,Assigned,0,407860172,"Apr 3, 2025 12:35AM"
P3,Feature Request,No option to disable haptic and audio feedback for biometric login in Android Beta on Pixel 8 Pro,,Assigned,0,420066693,"May 27, 2025 08:35PM"
P2,Feature Request,The Bluetooth quick access on pixel fold looks like a slider,,Assigned,0,431973451,"Jul 15, 2025 08:35PM"
P2,Feature Request,When the device is in locked anyone can off our wifi and mobile and other things through notification panel without unlocking the phone It is a big problem that I have face in this pixel phone. Please give a security option for this,,Assigned,3,440508029,"Nov 18, 2025 12:57PM"
P2,Feature Request,"FR:I hope Pixel can have better highlight cutting, it has lag behind.",,Assigned,0,441537632,"Oct 16, 2025 08:59PM"
P2,Bug,[Pixel Launcher] Pixel launcher settings pages using inconsistent 'switch' component,,WAI,0,376014662,"May 16, 2025 12:48PM"
P2,Bug,Battery widget shows incorrect data for Pixel Buds Pro,,WAI,0,388371286,"Jan 16, 2025 08:41PM"
P2,Bug,Google pixel stand 2 doesn't charge phone,,WAI,0,394659199,"May 27, 2025 01:45PM"
P2,Bug,Bug when unlocking with Pixel watch,,WAI,0,397565656,"Mar 7, 2025 10:20AM"
P2,Bug,Pixel 8 pro only charges at 450ma unless chilled,,WAI,0,399254150,"Oct 3, 2025 06:07PM"
P2,Bug,No haptic feedback upon unlocking device with Face Unlock (Pixel 8),,WAI,0,412034074,"Apr 25, 2025 08:51PM"
P2,Bug,I was just looking at the Brandenburg Gate in Berlin on Google Maps and wanted to switch to satellites. But that doesn't work on my Pixel 9 Pro.,,WAI,0,412532133,"Apr 25, 2025 01:30AM"
P2,Bug,"LE audio toggle missing Pixel 7a, LC3 codec, Dev option greyed out",,WAI,13,422501406,"Jul 25, 2025 09:13PM"
P2,Bug,External USB monitor resolution pixel 8,,WAI,0,430620940,"Jul 25, 2025 10:35PM"
P2,Bug,5G not appearing on pixel 6 series,,WAI,0,440942797,"Oct 30, 2025 04:44AM"
P2,Bug,Pixel 8 Pro 5g issue,,WAI,0,447985818,"Oct 10, 2025 09:33PM"
P2,Bug,"Pixel Launcher - App names are not displayed in two lines, despite activation.",,Obsolete,0,371886208,"Dec 31, 2024 07:48PM"
P2,Bug,Prompt plays when pixel tablet is rebooted,,Obsolete,0,388903572,"Aug 22, 2025 12:37AM"
P2,Bug,[Pixel Buds] Hey google not working for pixel buds,,Obsolete,0,391244308,"Jan 30, 2025 05:49PM"
P2,Bug,Pixel Watch cannot connect to phone via Cloud Sync when phone's VPN is connected and is locked,,Obsolete,0,396505004,"Aug 25, 2025 06:01PM"
P3,Bug,Pixel 7 pro Reboots after 16 beta 2,,Obsolete,0,397043076,"Mar 7, 2025 08:43PM"
P2,Bug,Fitbit no longer gives sleep metrics on Pixel watch 1 gen,,Obsolete,0,400216556,"Sep 17, 2025 01:10AM"
P2,Bug,"When phone (Pixel 8) is in the pocket and I got a Call, then lockscreen clock is overlapping on the incoming call",,Obsolete,0,403807485,"Sep 16, 2025 07:50PM"
P2,Bug,No LE option for Pixel Buds Pro 2,,Obsolete,0,404275213,"May 27, 2025 10:22PM"
P2,Bug,Pixel feeds like icons are missing,,Obsolete,0,405136447,"Sep 15, 2025 09:01PM"
P3,Bug,"App Grid ""4x5"" (Google Pixel 8a)",,Obsolete,0,407220715,"Apr 8, 2025 05:48PM"
P2,Bug,[Phone] Pixel Watch not showing up as an audio,,Obsolete,0,412481624,"May 5, 2025 03:08PM"
P2,Bug,"Pixel 8 bricked, potentially after upgrade to QPR1 Beta",,Obsolete,0,419453979,"Jul 1, 2025 07:58PM"
P2,Bug,"Pixel Tablet shows two clocks. One centered from lockscreen customization, the other default clock bottom left. Centered clock disappears after reboot. Appears again after some time",,Obsolete,0,421338378,"Jun 9, 2025 11:01PM"
P2,Bug,Missing Android 16 QPR1 Beta 1.1 firmware files for Pixel 9 Pro XL komodo,,Obsolete,0,422521565,"Jun 6, 2025 10:12PM"
P2,Bug,Pixel Stand 3 Wireless Charging not charging,,Obsolete,0,424763424,"Nov 7, 2025 08:14PM"
P2,Bug,Pixel buds Pro 2 - microphone doesn't work,,Obsolete,1,428830867,"Jul 9, 2025 08:07PM"
P2,Bug,Phone does not charge on pixel stand,,Obsolete,0,428981494,"Jul 7, 2025 05:21PM"
P2,Bug,Pixel 7a / Android 16 failures with FTM RTT in multiple bands - requires toggling airplane mode to recover,,Obsolete,0,431089347,"Sep 11, 2025 09:30PM"
P2,Bug,[Pixel Buds] Text not displaying,,Obsolete,0,439253457,"Aug 19, 2025 12:03AM"
P2,Bug,Pixel 9 Pro Fold crashes when unlocking after reboot,,Obsolete,0,440364863,"Sep 1, 2025 06:36PM"
P2,Bug,Pixel 3 watch backup.,,Obsolete,0,445601359,"Sep 18, 2025 04:35AM"
P2,Bug,[Pixel Camera Services] display over other apps permission turn off,,Obsolete,0,446784719,"Oct 13, 2025 10:42PM"
P2,Bug,Battery drains very quickly in pixel watch 2,,Obsolete,0,458641587,"Nov 10, 2025 06:41PM"
P2,Bug,[Edge] Links and screen pointer position are intermittent in opened pixel fold state,,Can't Repro,0,393929355,"Jun 11, 2025 08:08PM"
P2,Bug,[Pixel buds pro 2] Volume control doesn't work after around 10 minutes of listening,,Can't Repro,0,394188422,"Feb 11, 2025 05:16PM"
P2,Bug,Cannot control volume and connectivity issues with Pixel Buds Pro 2. Frequently only plays only on 1 earbud and volume touch controls don't work either.,,Infeasible,0,371058986,"May 22, 2025 09:25PM"
P2,Bug,Material You colors are not updating post upgrade to Android 16 Beta 1 on Pixel 8 Pro,,Infeasible,0,391992802,"Aug 22, 2025 12:36PM"
P2,Bug,Google pixel 6 Pro Right side touch screen section unresponsive,,Infeasible,0,395895380,"Feb 27, 2025 10:50AM"
P2,Bug,[Pixel Weather] 5 gündür konum yenilenmiyor,,Infeasible,0,396297391,"Aug 22, 2025 12:29PM"
P2,Bug,Pixel buds pro 2 takes a few attempts to connect and then if not playing audio for a little while will stop playing audio on the right earbud,,Infeasible,0,397675155,"Sep 15, 2025 07:43PM"
P2,Bug,Pixel Buds Pro 2 audio does not sync correctly with videos,,Infeasible,0,398141747,"Mar 11, 2025 10:06PM"
P2,Bug,"After wireless charging from other Pixel 8, the wireless charging stats left on screen, after charger disconnects",,Infeasible,0,399022471,"Aug 22, 2025 12:24PM"
P2,Bug,Problème sur pixel 6,,Infeasible,0,403812551,"Aug 22, 2025 12:17PM"
P2,Bug,Re: Issue 403316335: Cannot DL Verizon esim to watch. Cannot activate? pixel watch 3.,,Infeasible,0,404402800,"May 9, 2025 11:23PM"
P2,Bug,"[Camera] 0,6 lens not stable pixel 6a",,Infeasible,0,404618996,"Aug 22, 2025 12:15PM"
P2,Bug,Pixel Buds disappearing randomly while charging and/or only one bud is in use.,,Infeasible,0,404881385,"Apr 15, 2025 05:36PM"
P2,Bug,[Home] Notifications remaining active on pixel watch after dismissed on phone,,Infeasible,0,404982910,"Jul 3, 2025 01:35AM"
P2,Bug,Cannot activate pixel watch 3 on Verizon,,Infeasible,0,404994357,"Apr 9, 2025 08:38PM"
P3,Bug,"After updating the software for pixel 6, Even the system is crashing",,Infeasible,0,404994434,"Aug 22, 2025 12:13PM"
P2,Bug,"Lock screen Showing ""Other Pixel providing charge"" when no Pixel is sharing its charge.",,Infeasible,0,405437302,"Sep 29, 2025 06:42PM"
P2,Bug,Pixel 6 overheating on normal use. The device is overheating (39°c) during light use,,Infeasible,0,405494440,"May 8, 2025 07:33PM"
P2,Bug,GPS improved accuracy not working (Pixel Watch 2),,Infeasible,0,406465588,"May 19, 2025 09:12PM"
P2,Bug,GREEN LINE BUG ON PIXEL 8,,Infeasible,0,407921498,"Apr 7, 2025 02:06PM"
P2,Bug,[Real Cricket 24] Not supporting any real cricket game which is connected with google play games whenever I try to open and tap to sign in app go auto back to home screen and also show that the error of authentication fails also I try in another pixel 6a with android 15 the same issue remains occurred. Please fix this issue I love this game,,Infeasible,0,407954935,"Aug 22, 2025 06:38AM"
P2,Bug,Navigation Buttons Not Responding Intermittently (Responding wrongly) on Pixel 8 (Android 16),,Infeasible,0,408021963,"Aug 22, 2025 06:37AM"
P2,Bug,"Android on several Pixel phones ""gets tired"" of FTM RTT 802.11mc requests and needs to be rebooted",,Infeasible,0,409203680,"Jul 15, 2025 01:08AM"
P2,Bug,Pixel buds Pro gestures are not working properly,,Infeasible,0,409437776,"Apr 28, 2025 05:04PM"
P2,Bug,Android 16 3. 2. Beta update did not resolve my Google pixel 6 pro screen not responding issue it still persists.,,Infeasible,0,409461245,"Apr 23, 2025 06:00PM"
P2,Bug,Pixel 9 5G not working despite 5G icon in top right,,Infeasible,1,409717087,"Jul 14, 2025 06:18PM"
P2,Bug,[Camera] Feedback : Front Camera Image Quality Degraded After Android 16 Beta 4 Update (Pixel 6 Pro),,Infeasible,0,411989548,"May 5, 2025 03:10PM"
P2,Bug,Pixel 6 heats and gets very warm + draining battery faster than before ju,,Infeasible,0,417896329,"Aug 22, 2025 06:22AM"
P2,Bug,Pixel text maybe bubble text black whole screen,,Infeasible,0,419068854,"Aug 22, 2025 06:21AM"
P2,Bug,Jittery Wallpaper Scrolling on Home Screen – Android 16/15 on Pixel 9,,Infeasible,0,419106468,"Aug 22, 2025 06:20AM"
P2,Bug,[Google Pixel Watch] Unable to connect Pixel watch 2. with the Google Account,,Infeasible,0,419143051,"Aug 22, 2025 06:20AM"
P2,Bug,[Pixel 9 Pro XL] Bootloops casued by kernel Panic can trigger Pixel BL1 recovery which has no way to exit.,,Infeasible,1,419829071,"Nov 14, 2025 10:28PM"
P2,Bug,"Something seems off. Increasingly hyper vigilant, over analytical, intuitive (but lately lacking discernment). Made vast improvements socially. It feels like natural...""energetic""...connections, vs just saying words, having social ""skills"" while awkward and hating people lol. However, there's been a simultaneous loss of connection with my husband of 19 years. It's been eroded by betrayal, trust issues, jealousy and codependency. This is why I'm here, obviously. As for technological skill...not so much. I have a Pixel 7 Pro. ""Other Issue"" means many different issues. Please help.",,Infeasible,0,420691128,"Aug 22, 2025 06:13AM"
P2,Bug,Display won't go dark when charging on Pixel Stand,,Infeasible,0,421539611,"Aug 22, 2025 06:10AM"
P2,Bug,"[Pixel Weather] ""Font size"" in Settings affects objects in Pixel Weather app",,Infeasible,0,423259719,"Aug 22, 2025 01:17AM"
P2,Bug,"[Camera] The camera has poor image processing in terms of resolution and colors. The colors are no longer as rich as before. In previous versions of Pixel, image processing was much better, but now the situation is disappointing.",,Infeasible,0,423287954,"Aug 22, 2025 01:16AM"
P2,Bug,Pixel 6 heating up during normal use (required,,Infeasible,1,423607188,"Aug 22, 2025 01:15AM"
P2,Bug,I getting random dead pixels,,Infeasible,0,423643859,"Aug 22, 2025 01:15AM"
P2,Bug,[Pixel Weather] No animation for every tiles,,Infeasible,0,424981675,"Oct 4, 2025 12:08AM"
P2,Bug,"Pixel 7 - android 16 beta , Sim Network Problem - Location Bangladesh",,Infeasible,0,425010975,"Sep 30, 2025 05:07PM"
P2,Bug,"Screenshots are a hit or miss when cropping directly from the screenshot ui. The top crop bar disappears. In this recording it took a while to show but the last screenshot showed it. Sometimes the bar is visible again as in this case, other instances it never returns. This occured in the pixel 8",,Infeasible,0,425046788,"Aug 22, 2025 01:11AM"
P2,Bug,"Pixel 6 Pro Freezes on Lock Screen Password Entry, Resumes After Reboot",,Infeasible,0,426189621,"Aug 22, 2025 01:09AM"
P2,Bug,Pixel 6a battery drain issue,,Infeasible,0,426851520,"Jul 14, 2025 09:08PM"
P2,Bug,I want to enroll android 16 beta version From my pixel 6 pro but I don't get that option when I go to the website,,Infeasible,0,428670263,"Aug 22, 2025 01:04AM"
P2,Bug,Pixel 6A carga lento,,Infeasible,0,429259454,"Aug 22, 2025 01:03AM"
P2,Bug,My Pixel 6a is Discharged so fast & Heating when I use my phone... The battery of my Pixel 6a is not working properly these days after the android beta update last month June 2025...,,Infeasible,0,429335489,"Aug 22, 2025 01:03AM"
P2,Bug,Operating system crashed Completely Android canary Pixel 7A,,Infeasible,0,431571830,"Aug 22, 2025 12:58AM"
P2,Bug,Pixel 9 Pro Fold randomly reboots,,Infeasible,0,432109078,"Aug 5, 2025 06:46PM"
P2,Bug,On my pixel 8. Don't understand. Setting up esim with Xfinity is not a problem but when I go beta mode it crashes carrier,,Infeasible,0,433354288,"Aug 22, 2025 12:54AM"
P2,Bug,And here's a bug report from my pixel 8,,Infeasible,0,433354987,"Aug 22, 2025 12:54AM"
P2,Bug,My pixel watch keeps saying no unsupported Esim what could be the problem I can't add esim in Kenya,,Infeasible,0,436886724,"Aug 7, 2025 10:35PM"
P2,Bug,"[Android 16 Beta] Play Integrity device/strong verdict fails on CTS-unapproved beta builds ? blocks sign-in on stock, locked Pixels",,Infeasible,0,438514995,"Aug 29, 2025 12:08AM"
P2,Bug,Bluetooth not working QPR2 Beta 1 on Pixel 8 Pro,,Infeasible,1,440233325,"Oct 13, 2025 06:30PM"
P2,Bug,Pixel 9 pro xl : the phone keeps restarting forever. My account is supervised account under family link.,,Infeasible,0,440759521,"Sep 16, 2025 06:08AM"
P2,Bug,[Pixel Launcher] App drawer background glitching,,Infeasible,0,441225126,"Sep 11, 2025 12:08AM"
P2,Bug,Cannot do screen mirroring from my pixel 7 to my smart TV anymore since beta 16,,Infeasible,0,442960282,"Sep 18, 2025 06:08PM"
P2,Bug,Pixel 6 Pro Flashed while updateing apps. went to black screen that says google.,,Infeasible,0,446365545,"Nov 14, 2025 08:02PM"
P2,Bug,When put in power saving mode and when I place a call on WhatsApp something purple type is flickering under the punch hole of front camera pixel 8a,,Infeasible,0,446780819,"Oct 11, 2025 12:08AM"
P2,Bug,"Battery claim issue for my Pixel 6a. Pixel is in the claim process, but no email notification has arrived",,Infeasible,0,446801115,"Oct 10, 2025 09:20PM"
P2,Bug,Critical Network Connectivity Issue on Google Pixel 6 Pro After Software Update,,Infeasible,0,447044831,"Oct 11, 2025 12:08AM"
P2,Bug,Galaxy watch ultra not showing caller id from pixel 10 pro xl,,Infeasible,0,447257032,"Oct 11, 2025 12:08AM"
P2,Bug,pixel launcher : when apply dark wallpaper upper are not dark,,Infeasible,0,447563719,"Nov 11, 2025 10:17AM"
P2,Bug,pixel 6 right area green tint dark mode,,Infeasible,0,447564164,"Nov 11, 2025 10:17AM"
P2,Bug,Pixel Buds Pro 2 uses HSP/HFP instead of A2DP2 until phone is rebooted,,Infeasible,0,448313000,"Nov 6, 2025 11:22PM"
P2,Bug,"When I am on a video call, the camera cutout on my Pixel gets bigger (enlarges). After hanging up the video call, the cutout does not return to its normal size. It stays enlarged until I restart the phone.",,Infeasible,0,449379446,"Oct 23, 2025 12:08AM"
P2,Bug,New Pixel 10 Ringtones disappear in new beta,,Infeasible,0,453143138,"Nov 4, 2025 06:08PM"
P2,Bug,Google feed from pixel launcher does not swipe back to home pages,,Duplicate,0,381482252,"Nov 29, 2024 04:35PM"
P2,Bug,Random restarts/crashes on Pixel 9 Pro Fold,,Duplicate,0,397003484,"Feb 17, 2025 12:35AM"
P2,Bug,Random restart whilst listening to YouTube on Pixel Buds Pro 2,,Duplicate,0,397023318,"Feb 17, 2025 12:35AM"
P2,Bug,Pixel 8 not recognizing SIM card,,Duplicate,0,403817770,"Mar 19, 2025 12:00PM"
P2,Bug,[Find My Device] Pixel 9 Pro XL Default Android Icon,,Duplicate,0,403818222,"Mar 19, 2025 11:59AM"
P2,Bug,"Hello team google, there is showing no battery health on my pixel 6. Please fix this if it's possible.",,Duplicate,0,403820660,"Mar 16, 2025 04:35PM"
P2,Bug,"When opening folder from Pixel Launcher home screen, the folder background color changes to a slightly lighter color.",,Duplicate,0,403867637,"Mar 16, 2025 04:35PM"
P2,Bug,I can't see the battery health on my pixel 6a device.,,Duplicate,0,403886692,"Mar 16, 2025 04:35PM"
P2,Bug,The Wallpaper settings interface crashes when I set another launcher app except Pixel launcher as default.,,Duplicate,0,419264015,"May 22, 2025 08:49PM"
P2,Bug,Pixel Wallpaper App crashes and lags out,,Duplicate,0,419521347,"May 23, 2025 12:35AM"
P2,Bug,"[Google] On my Pixel 8, the keyboard doesn't open when trying to edit a search after selecting text using the tool that appears following a long press on the bottom bar. This issue makes it impossible to modify the search query.",,Duplicate,0,420087572,"Jun 2, 2025 04:35PM"
P2,Bug,Battery health bot showing on pixel 6a,,Duplicate,0,420225157,"May 26, 2025 12:35AM"
P2,Bug,"VoLTE, 5G, Vo5G and WiFi calling disappeared from Google Pixel in South Africa.",,Duplicate,0,421260607,"May 30, 2025 09:24PM"
P2,Bug,Google search widget in pixel launcher cannot bring up keyboard,,Duplicate,0,421596550,"Jun 2, 2025 04:35PM"
P2,Bug,"[Pixel Weather] Weather widget sometimes stuck at ""Loading...""",,Duplicate,0,423062840,"Jun 12, 2025 12:35AM"
P2,Bug,Pixel 9 Pro Fold display switching,,Duplicate,0,423265250,"Jun 9, 2025 12:35AM"
P2,Bug,Black screen on front and inside screen Pixel 9 Pro Fold,,Duplicate,0,423278017,"Jun 9, 2025 12:35AM"
P2,Bug,"battery health tips border size is wrong, pixel 8",,Duplicate,0,424163610,"Jun 12, 2025 12:35AM"
P2,Bug,Battery Health Unsupported for Pixel 8a,,Duplicate,0,424436221,"Jun 13, 2025 12:36AM"
P2,Bug,Pixel 6a not charging since android 16 qpr2 beta update,,Duplicate,0,424451590,"Jul 28, 2025 07:26PM"
P2,Bug,[Pixel Weather] Weather Widget shows no data,,Duplicate,0,424771831,"Jun 13, 2025 09:24PM"
P2,Bug,"Pixel 9PXL - Battery health shows unsupported, should show current battery health status instead.",,Duplicate,0,425233379,"Jun 16, 2025 04:35PM"
P2,Bug,[Pixel Weather] The app has no widgets. Rather the pixel weather widgets are now in the Google app.,,Duplicate,0,425272945,"Jun 16, 2025 04:35PM"
P2,Bug,Pixel 6aBattery drainage after latest 16 beta 4,,Duplicate,0,426840421,"Jul 28, 2025 07:25PM"
P2,Bug,Android 16 Beta (Pixel 7): 80% charging limit not working,,Duplicate,0,428880877,"Jul 1, 2025 08:35PM"
P2,Bug,"Battery health ""Unsupported"" on Pixel 9 Pro Fold",,Duplicate,0,429183355,"Jul 3, 2025 03:24AM"
P2,Bug,Gemini opens as invisible layer when triggered from lock screen on Pixel 9 Pro XL (Android 16 Beta),,Duplicate,0,429404092,"Jul 13, 2025 12:34PM"
P2,Bug,Android 16 Beta on Google Pixel 7 - Network and Call Issues with Physical SIM,,Duplicate,0,430494768,"Jul 16, 2025 09:47AM"
